station,avg_lat,avg_lon
BATHURST,43.665799,-79.4114395
BAY,43.669999,-79.390939
BAYVIEW,43.7669115,-79.3867165
BESSARION,43.769249,-79.3763285
BLOOR-YONGE,43.67078475,-79.386013
BROADVIEW,43.676699,-79.358838
CASTLE FRANK,43.673799,-79.368938
CHESTER,43.678296,-79.3525195
CHRISTIE,43.664299,-79.41814
COLLEGE,43.660799,-79.382888
COXWELL,43.684399,-79.322836
DAVISVILLE,43.697648,-79.39709
DON MILLS,43.7753975,-79.3463865
DONLANDS,43.681049,-79.338337
DOWNSVIEW PARK,43.753311,-79.478693
DUFFERIN,43.660699,-79.43479
DUNDAS,43.656549,-79.380988
DUNDAS WEST,43.657299,-79.451941
DUPONT,43.674349,-79.4068895
EGLINTON,43.705598,-79.39864
EGLINTON WEST,43.699998,-79.436491
ELLESMERE,43.766798,-79.276236
FINCH,43.780497,-79.4154915
FINCH WEST,43.764855,-79.491118
GLENCAIRN,43.708598,-79.4405415
GREENWOOD,43.682699,-79.330837
HIGH PARK,43.653699,-79.467841
HIGHWAY 407,43.783359,-79.523454
ISLINGTON,43.645398,-79.5241435
JANE,43.649949,-79.483742
KEELE,43.655499,-79.459541
KENNEDY,43.73236675,-79.2640625
KING,43.649049,-79.377888
KIPLING,43.63752,-79.535793
LANSDOWNE,43.65928,-79.442467
LAWRENCE,43.725948,-79.40239
LAWRENCE EAST,43.750448,-79.270186
LAWRENCE WEST,43.715266,-79.4439145
LESLIE,43.771298,-79.36589
MAIN STREET,43.689099,-79.301536
MCCOWAN,43.774921,-79.2513825
MIDLAND,43.770448,-79.271936
MUSEUM,43.666599,-79.393189
NORTH YORK CENTRE,43.767947,-79.412542
OLD MILL,43.649748,-79.494142
OSGOODE,43.651099,-79.386688
OSSINGTON,43.662199,-79.42699
PAPE,43.679799,-79.344937
PIONEER VILLAGE,43.7767455,-79.509353
QUEEN,43.652749,-79.379388
QUEEN'S PARK,43.659899,-79.390489
ROSEDALE,43.676649,-79.388339
ROYAL YORK,43.648448,-79.509593
RUNNYMEDE,43.651899,-79.475842
SCARBOROUGH CENTRE,43.774498,-79.257436
SHEPPARD WEST,43.7496755,-79.462387
SHEPPARD-YONGE,43.7612845,-79.41051675
SHERBOURNE,43.6721385,-79.3761675
SPADINA,43.668374,-79.404889
ST ANDREW,43.647649,-79.384788
ST CLAIR,43.688049,-79.393289
ST CLAIR WEST,43.684548,-79.41564
ST GEORGE,43.668399,-79.398814
ST PATRICK,43.654649,-79.388188
SUMMERHILL,43.682699,-79.390989
UNION,43.645699,-79.380588
VAUGHAN METROPOLITAN CENTRE,43.794021,-79.527906
VICTORIA PARK,43.694899,-79.288685
WARDEN,43.711549,-79.278935
WELLESLEY,43.665549,-79.383638
WILSON,43.734448,-79.450042
WOODBINE,43.686499,-79.313136
YORK MILLS,43.743848,-79.406091
YORK UNIVERSITY,43.774097,-79.499888
YORKDALE,43.724598,-79.447492
